Time,Open,High,Low,Close,Volume
2022-06-21 09:00:00,21356.32000000,21470.00000000,21300.00000000,21325.13000000,1488.95117000
2022-06-21 09:15:00,21325.14000000,21346.99000000,21176.01000000,21205.99000000,1912.13201000
2022-06-21 09:30:00,21205.98000000,21264.88000000,21166.94000000,21170.61000000,781.43793000
2022-06-21 09:45:00,21170.61000000,21239.30000000,21167.71000000,21200.00000000,779.05385000
2022-06-21 10:00:00,21200.01000000,21229.13000000,21123.23000000,21167.81000000,1041.94558000
2022-06-21 10:15:00,21167.82000000,21214.26000000,21061.54000000,21208.03000000,1278.54113000
2022-06-21 10:30:00,21208.04000000,21307.83000000,21170.73000000,21259.74000000,988.13669000
2022-06-21 10:45:00,21259.75000000,21305.00000000,21221.25000000,21299.27000000,673.85238000
2022-06-21 11:00:00,21299.02000000,21361.03000000,21194.11000000,21285.98000000,1001.82412000
2022-06-21 11:15:00,21285.98000000,21300.00000000,21125.46000000,21134.91000000,707.84724000
2022-06-21 11:30:00,21134.91000000,21160.19000000,21023.51000000,21029.07000000,1477.80743000
2022-06-21 11:45:00,21029.06000000,21068.81000000,20911.13000000,20962.42000000,1497.94645000
2022-06-21 12:00:00,20962.42000000,20998.97000000,20853.36000000,20988.57000000,1600.50969000
2022-06-21 12:15:00,20988.57000000,21092.97000000,20884.04000000,20949.33000000,1600.07720000
2022-06-21 12:30:00,20949.32000000,21096.92000000,20940.00000000,21031.63000000,1155.75848000
2022-06-21 12:45:00,21031.64000000,21163.24000000,21003.20000000,21106.20000000,1239.91766000
2022-06-21 13:00:00,21106.19000000,21138.58000000,20995.64000000,21095.06000000,800.22649000
2022-06-21 13:15:00,21095.06000000,21188.03000000,21014.38000000,21150.01000000,951.50295000
2022-06-21 13:30:00,21150.01000000,21599.00000000,21116.99000000,21537.40000000,3763.54678000
2022-06-21 13:45:00,21537.39000000,21650.00000000,21373.68000000,21619.31000000,3152.31458000
2022-06-21 14:00:00,21619.31000000,21671.21000000,21427.82000000,21496.22000000,2104.06215000
2022-06-21 14:15:00,21496.22000000,21554.31000000,21436.35000000,21519.32000000,1130.30079000
2022-06-21 14:30:00,21519.33000000,21650.00000000,21513.81000000,21565.82000000,1300.83982000
2022-06-21 14:45:00,21565.82000000,21723.00000000,21538.92000000,21590.79000000,1759.82153000
2022-06-21 15:00:00,21590.79000000,21604.27000000,21476.05000000,21517.25000000,1054.19938000
2022-06-21 15:15:00,21517.24000000,21573.37000000,21464.87000000,21532.51000000,876.08567000
2022-06-21 15:30:00,21532.51000000,21590.24000000,21339.07000000,21399.99000000,1100.13700000
2022-06-21 15:45:00,21399.98000000,21473.79000000,21372.43000000,21392.19000000,779.12417000
2022-06-21 16:00:00,21392.18000000,21436.09000000,21355.77000000,21410.00000000,546.43282000
